year,High income,Upper middle income,Lower middle income,Low income
"1970",23.70591,6.32703,5.94304,2.98053
"1971",25.13115,6.30685,5.95618,2.87718
"1972",26.27265,6.38579,5.99673,2.98553
"1973",27.27688,6.58198,6.01591,3.16097
"1974",28.13124,6.99334,6.04061,3.37209
"1975",29.52469,7.56217,5.97743,3.74418
"1976",31.42904,7.89743,6.00136,4.00429
"1977",31.4726,8.11927,6.01142,4.2385
"1978",32.22809,8.33289,6.22467,4.41872
"1979",32.12051,8.73269,6.37205,4.43335
"1980",32.7186,8.91937,6.51293,4.34798
"1981",33.52783,9.17926,6.79901,4.3502
"1982",34.23263,9.44514,6.75406,4.37543
"1983",34.93431,9.47355,7.1447,4.41058
"1984",35.57598,9.89635,7.5407,4.58658
"1985",35.93513,10.11816,7.55616,4.76221
"1986",36.52302,9.96962,7.516,4.99175
"1987",37.47952,9.90336,7.75072,5.03325
"1988",38.61653,9.77413,7.33978,5.16423
"1989",39.88886,9.70023,7.52129,5.15998
"1990",41.59846,9.7326,7.59962,5.11801
"1991",43.08989,9.83818,7.60434,5.10078
"1992",45.25057,9.85206,7.59034,4.91757
"1993",45.63984,9.98121,7.62151,4.75922
"1994",50.20906,10.64707,7.75434,4.46336
"1995",51.76309,11.6807,7.95092,4.23095
"1996",50.35424,12.30904,8.51481,4.06626
"1997",51.63585,13.57145,9.05531,3.94156
"1998",54.05733,14.44087,9.71486,3.97572
"1999",55.97781,15.84672,10.55808,4.03228
"2000",56.00177,17.26371,11.13211,4.24912
"2001",57.57636,19.48456,11.41209,4.39112
"2002",61.6467,21.87474,11.87195,4.5777
"2003",63.63279,24.23009,12.21308,4.82794
"2004",65.0421,25.77718,12.65556,5.10796
"2005",66.01573,27.09709,12.93095,5.48483
"2006",67.59556,28.36455,13.50475,5.83769
"2007",68.23539,29.26878,14.53862,6.29605
"2008",68.99337,30.29807,15.86175,6.73471
"2009",70.46505,31.69192,16.76589,7.29882
"2010",73.18291,33.37287,17.95772,8.00316
"2011",74.81549,35.20624,20.52331,8.20153
"2012",75.26519,37.72683,21.66445,8.65686
"2013",74.34712,40.6127,21.75428,8.73022
"2014",75.02719,46.63707,22.78917,9.05803
"2015",75.54148,49.16391,23.65729,8.98101
"2016",76.46243,51.05217,23.91669,8.7511
"2017",76.78721,52.18439,24.3922,8.80425
"2018",75.10247,53.03968,24.80924,8.88348
